accession,length,source_database,fragments
A0A003,340,unreviewed,"[{""start"": 15, ""end"": 249}]"
A0A009GZV8,323,unreviewed,"[{""start"": 3, ""end"": 208}]"
A0A009H3J1,335,unreviewed,"[{""start"": 2, ""end"": 260}]"
A0A009H7U9,338,unreviewed,"[{""start"": 4, ""end"": 263}]"
A0A009HJQ2,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A009HLV6,216,unreviewed,"[{""start"": 17, ""end"": 193}]"
A0A009HNL3,323,unreviewed,"[{""start"": 3, ""end"": 206}]"
A0A009HPX5,338,unreviewed,"[{""start"": 4, ""end"": 263}]"
A0A009HQP5,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A009I037,271,unreviewed,"[{""start"": 14, ""end"": 195}]"
A0A009I6F0,621,unreviewed,"[{""start"": 17, ""end"": 235}]"
A0A009IIM7,335,unreviewed,"[{""start"": 2, ""end"": 250}]"
A0A009IPF0,271,unreviewed,"[{""start"": 13, ""end"": 163}]"
A0A009MGB2,621,unreviewed,"[{""start"": 17, ""end"": 223}]"
A0A009MKU4,335,unreviewed,"[{""start"": 2, ""end"": 260}]"
A0A009N2K0,271,unreviewed,"[{""start"": 13, ""end"": 195}]"
A0A009N4K0,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A009PGC0,335,unreviewed,"[{""start"": 2, ""end"": 250}]"
A0A009PIZ7,80,unreviewed,"[{""start"": 1, ""end"": 79}]"
A0A009PK95,271,unreviewed,"[{""start"": 13, ""end"": 163}]"
A0A009PL14,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A009PX46,323,unreviewed,"[{""start"": 3, ""end"": 206}]"
A0A009QAV0,377,unreviewed,"[{""start"": 4, ""end"": 285}]"
A0A009QL42,621,unreviewed,"[{""start"": 17, ""end"": 223}]"
A0A009QQJ1,271,unreviewed,"[{""start"": 13, ""end"": 195}]"
A0A009RK84,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A009RY50,335,unreviewed,"[{""start"": 2, ""end"": 260}]"
A0A009S350,271,unreviewed,"[{""start"": 13, ""end"": 163}]"
A0A009S5L2,323,unreviewed,"[{""start"": 3, ""end"": 206}]"
A0A009SCP5,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A009SW99,335,unreviewed,"[{""start"": 2, ""end"": 250}]"
A0A009TEI6,339,unreviewed,"[{""start"": 4, ""end"": 263}]"
A0A009YLZ5,335,unreviewed,"[{""start"": 2, ""end"": 261}]"
A0A009Z2K6,351,unreviewed,"[{""start"": 7, ""end"": 247}]"
A0A009ZUH4,277,unreviewed,"[{""start"": 26, ""end"": 168}]"
A0A010ITZ9,335,unreviewed,"[{""start"": 2, ""end"": 260}]"
A0A010JDJ1,271,unreviewed,"[{""start"": 13, ""end"": 195}]"
A0A010JGU4,621,unreviewed,"[{""start"": 17, ""end"": 223}]"
A0A010JTL8,301,unreviewed,"[{""start"": 5, ""end"": 220}]"
A0A010JW93,338,unreviewed,"[{""start"": 4, ""end"": 263}]"
A0A010KBT6,323,unreviewed,"[{""start"": 3, ""end"": 206}]"
A0A010Q160,370,unreviewed,"[{""start"": 11, ""end"": 262}]"
A0A010Q360,341,unreviewed,"[{""start"": 4, ""end"": 261}]"
A0A010Q3Z9,301,unreviewed,"[{""start"": 5, ""end"": 192}]"
A0A010QBA2,368,unreviewed,"[{""start"": 15, ""end"": 196}]"
A0A010QDK4,375,unreviewed,"[{""start"": 7, ""end"": 238}]"
A0A010QFW8,347,unreviewed,"[{""start"": 6, ""end"": 269}]"
A0A010QH94,305,unreviewed,"[{""start"": 7, ""end"": 113}]"
A0A010QHQ2,340,unreviewed,"[{""start"": 4, ""end"": 254}]"
A0A010QI21,289,unreviewed,"[{""start"": 11, ""end"": 87}]"
A0A010QRW3,230,unreviewed,"[{""start"": 4, ""end"": 198}]"
A0A010QTT9,355,unreviewed,"[{""start"": 15, ""end"": 243}]"
A0A010QVU6,331,unreviewed,"[{""start"": 8, ""end"": 219}]"
A0A010QYV6,339,unreviewed,"[{""start"": 5, ""end"": 255}]"
A0A010R1K5,372,unreviewed,"[{""start"": 6, ""end"": 281}]"
A0A010R5T0,351,unreviewed,"[{""start"": 8, ""end"": 268}]"
A0A010R5X6,348,unreviewed,"[{""start"": 6, ""end"": 239}]"
A0A010R9C9,337,unreviewed,"[{""start"": 13, ""end"": 257}]"
A0A010RA37,352,unreviewed,"[{""start"": 16, ""end"": 137}]"
A0A010RAP9,364,unreviewed,"[{""start"": 16, ""end"": 159}]"
A0A010RED3,315,unreviewed,"[{""start"": 10, ""end"": 230}]"
A0A010RFI6,296,unreviewed,"[{""start"": 3, ""end"": 220}]"
A0A010RIP7,332,unreviewed,"[{""start"": 3, ""end"": 227}]"
A0A010RN57,298,unreviewed,"[{""start"": 5, ""end"": 96}]"
A0A010RNE8,132,unreviewed,"[{""start"": 4, ""end"": 123}]"
A0A010RSB0,285,unreviewed,"[{""start"": 6, ""end"": 170}]"
A0A010RT62,303,unreviewed,"[{""start"": 6, ""end"": 136}]"
A0A010RTK3,300,unreviewed,"[{""start"": 3, ""end"": 222}]"
A0A010RUW0,329,unreviewed,"[{""start"": 6, ""end"": 216}]"
A0A010RUW9,325,unreviewed,"[{""start"": 4, ""end"": 251}]"
A0A010S3L8,319,unreviewed,"[{""start"": 5, ""end"": 202}]"
A0A010S4H0,321,unreviewed,"[{""start"": 4, ""end"": 226}]"
A0A010SAM1,250,unreviewed,"[{""start"": 7, ""end"": 182}]"
A0A010SDU9,356,unreviewed,"[{""start"": 6, ""end"": 241}]"
A0A010SJP6,663,unreviewed,"[{""start"": 321, ""end"": 568}]"
A0A010SN63,349,unreviewed,"[{""start"": 18, ""end"": 150}]"
A0A010SUP3,339,unreviewed,"[{""start"": 5, ""end"": 232}]"
A0A010T161,309,unreviewed,"[{""start"": 6, ""end"": 243}]"
A0A010YMX8,350,unreviewed,"[{""start"": 3, ""end"": 129}, {""start"": 168, ""end"": 267}]"
A0A010YSU6,294,unreviewed,"[{""start"": 5, ""end"": 205}]"
A0A010YZQ1,302,unreviewed,"[{""start"": 3, ""end"": 189}]"
A0A010Z032,306,unreviewed,"[{""start"": 4, ""end"": 232}]"
A0A010ZMB5,294,unreviewed,"[{""start"": 3, ""end"": 211}]"
A0A010ZMR7,332,unreviewed,"[{""start"": 3, ""end"": 236}]"
