A0A345ARL4|label=PF13479.12-281-483|priority=2600	A0A345ARL4|label=PF13479.12-281-483|priority=2600
Q604A3|label=PF13479.12-16-243|priority=2602	Q604A3|label=PF13479.12-16-243|priority=2602
Q604A3|label=PF13479.12-16-243|priority=2602	A0A0U3E9R5|label=PF13479.12-17-244|priority=2609
Q604A3|label=PF13479.12-16-243|priority=2602	B6JD96|label=PF13479.12-17-255|priority=2598
Q604A3|label=PF13479.12-16-243|priority=2602	A0A521CY69|label=PF13479.12-17-255|priority=2608
Q604A3|label=PF13479.12-16-243|priority=2602	A0A1Y2K9M3|label=PF13479.12-30-257|priority=2601
Q604A3|label=PF13479.12-16-243|priority=2602	A0A2H5EUF3|label=PF13479.12-23-250|priority=2597
Q604A3|label=PF13479.12-16-243|priority=2602	A0A3D8PGH2|label=PF13479.12-16-243|priority=6161
Q604A3|label=PF13479.12-16-243|priority=2602	A0A317F5C2|label=PF13479.12-16-249|priority=6163
Q604A3|label=PF13479.12-16-243|priority=2602	A0A0M7BAT7|label=PF13479.12-16-243|priority=6174
A0A542Q2W9|label=PF13479.12-27-233|priority=2603	A0A542Q2W9|label=PF13479.12-27-233|priority=2603
A0A6C0R0W4|label=PF13479.12-30-235|priority=2604	A0A6C0R0W4|label=PF13479.12-30-235|priority=2604
A0A2P1CEX8|label=PF13479.12-2-195|priority=2606	A0A2P1CEX8|label=PF13479.12-2-195|priority=2606
A0A4D6B609|label=PF13479.12-15-247|priority=2611	A0A4D6B609|label=PF13479.12-15-247|priority=2611
E8QXG6|label=PF13479.12-14-226|priority=2612	E8QXG6|label=PF13479.12-14-226|priority=2612
A0A6C2YLP1|label=PF13479.12-14-230|priority=2613	A0A6C2YLP1|label=PF13479.12-14-230|priority=2613
A0A072PGQ5|label=PF13481.12-38-212|priority=2618	A0A072PGQ5|label=PF13481.12-38-212|priority=2618
A0A926I7X9|label=PF13481.12-50-230|priority=2620	A0A926I7X9|label=PF13481.12-50-230|priority=2620
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A2S5XA59|label=PF13481.12-61-223|priority=2621
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A2S8WKF2|label=PF13481.12-60-222|priority=2619
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A4R7TFH8|label=PF13481.12-78-242|priority=6192
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A1M4WED5|label=PF13481.12-55-219|priority=2628
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A1G5J9J4|label=PF13481.12-69-225|priority=6185
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	E9T1G8|label=PF13481.12-68-230|priority=6195
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A852VSJ4|label=PF13481.12-57-217|priority=2630
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A918DR50|label=PF13481.12-71-228|priority=2624
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	W1N706|label=PF13481.12-64-225|priority=2629
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A1S2T4K9|label=PF13481.12-62-223|priority=6177
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A2I0FUU5|label=PF13481.12-71-226|priority=6190
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A2H5ZU47|label=PF13481.12-47-212|priority=2633
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	D7UVR7|label=PF13481.12-95-260|priority=2632
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A926EJ01|label=PF13481.12-56-222|priority=2615
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A6M0QCF5|label=PF13481.12-57-222|priority=2617
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A3L9DT49|label=PF13481.12-53-219|priority=2631
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	Q890L7|label=PF13481.12-66-230|priority=6189
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A091G2W0|label=PF13481.12-70-219|priority=6193
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A238JZQ5|label=PF13481.12-74-221|priority=6180
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A7H5F290|label=PF13481.12-71-234|priority=6191
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	A0A6I4UYJ0|label=PF13481.12-59-221|priority=6181
A0A2S5XA59|label=PF13481.12-61-223|priority=2621	D8EYS0|label=PF13481.12-61-218|priority=6184
A0A384AJI7|label=PF13481.12-3-110|priority=2622	A0A384AJI7|label=PF13481.12-3-110|priority=2622
W9G1B4|label=PF13481.12-2-177|priority=2623	W9G1B4|label=PF13481.12-2-177|priority=2623
A0A8C5K5T7|label=PF13481.12-72-261|priority=2625	A0A8C5K5T7|label=PF13481.12-72-261|priority=2625
A0A4Y1WQV4|label=PF13481.12-5-169|priority=2626	A0A4Y1WQV4|label=PF13481.12-5-169|priority=2626
A0A8J7GKD9|label=PF13481.12-16-197|priority=2627	A0A8J7GKD9|label=PF13481.12-16-197|priority=2627
A0A369QVC6|label=PF13481.12-83-267|priority=2634	A0A369QVC6|label=PF13481.12-83-267|priority=2634
A0A926VS40|label=PF13500.12-3-209|priority=2637	A0A926VS40|label=PF13500.12-3-209|priority=2637
A0A926VS40|label=PF13500.12-3-209|priority=2637	A0A8J6WQA3|label=PF13500.12-2-209|priority=6201
A0A926VS40|label=PF13500.12-3-209|priority=2637	A0A928VZR8|label=PF13500.12-2-214|priority=6212
A0A328PCM2|label=PF13500.12-253-443|priority=2644	A0A328PCM2|label=PF13500.12-253-443|priority=2644
A0A7V7FMK8|label=PF13500.12-2-203|priority=2645	A0A7V7FMK8|label=PF13500.12-2-203|priority=2645
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A317NEF4|label=PF13500.12-7-206|priority=2648
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A6H1A719|label=PF13500.12-3-204|priority=2640
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A2V4XTC6|label=PF13500.12-6-215|priority=2636
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A1Y0KV13|label=PF13500.12-2-214|priority=2642
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A1E5CNV7|label=PF13500.12-3-230|priority=2647
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A8J3BVD4|label=PF13500.12-3-212|priority=6202
A0A317NEF4|label=PF13500.12-7-206|priority=2648	A0A5J6V3S9|label=PF13500.12-3-213|priority=6211
A0A317NEF4|label=PF13500.12-7-206|priority=2648	Z9JV51|label=PF13500.12-1-201|priority=6215
A0A5N8YVD6|label=PF13500.12-2-195|priority=2649	A0A5N8YVD6|label=PF13500.12-2-195|priority=2649
A0A812WTB9|label=PF13500.12-40-256|priority=2653	A0A812WTB9|label=PF13500.12-40-256|priority=2653
A0A3S0ADP8|label=PF13514.12-9-217|priority=2656	A0A3S0ADP8|label=PF13514.12-9-217|priority=2656
S2ZR95|label=PF13514.12-1-215|priority=2658	S2ZR95|label=PF13514.12-1-215|priority=2658
Q04FF2|label=PF13514.12-1-209|priority=2660	Q04FF2|label=PF13514.12-1-209|priority=2660
A0A1W2BQD2|label=PF13514.12-1-136|priority=2661	A0A1W2BQD2|label=PF13514.12-1-136|priority=2661
A0A1W2BQD2|label=PF13514.12-1-136|priority=2661	A6NQM5|label=PF13514.12-1-93|priority=6219
A0A1B8UM40|label=PF13514.12-10-225|priority=2662	A0A1B8UM40|label=PF13514.12-10-225|priority=2662
E3DLQ2|label=PF13514.12-1-168|priority=2665	E3DLQ2|label=PF13514.12-1-168|priority=2665
A0A662Z7L4|label=PF13514.12-1-209|priority=2666	A0A662Z7L4|label=PF13514.12-1-209|priority=2666
Q5FS55|label=PF13514.12-1-206|priority=2667	Q5FS55|label=PF13514.12-1-206|priority=2667
H5UTC0|label=PF13514.12-1-219|priority=2668	H5UTC0|label=PF13514.12-1-219|priority=2668
H5UTC0|label=PF13514.12-1-219|priority=2668	Q9CC83|label=PF13175.12-1-80|priority=2430
H5UTC0|label=PF13514.12-1-219|priority=2668	A0A1U7MTR2|label=PF13514.12-1-49|priority=2664
H5UTC0|label=PF13514.12-1-219|priority=2668	A0A212TD48|label=PF13514.12-1-52|priority=6229
G9YJY0|label=PF13514.12-1-64|priority=2669	G9YJY0|label=PF13514.12-1-64|priority=2669
A0A1M5LPK1|label=PF13514.12-1-205|priority=2670	A0A1M5LPK1|label=PF13514.12-1-205|priority=2670
A0A5C8WZL3|label=PF13514.12-1-206|priority=2672	A0A5C8WZL3|label=PF13514.12-1-206|priority=2672
A0A5C8WZL3|label=PF13514.12-1-206|priority=2672	A0A7W8HE37|label=PF13514.12-1-215|priority=2657
A0A5C8WZL3|label=PF13514.12-1-206|priority=2672	A0A1Y2K1J1|label=PF13514.12-1-209|priority=2663
A0A5C8WZL3|label=PF13514.12-1-206|priority=2672	A0A2Z6B0P1|label=PF13514.12-1-207|priority=2659
A0A5C8WZL3|label=PF13514.12-1-206|priority=2672	A0A0K1PZ28|label=PF13514.12-1-205|priority=6226
A0A5C8WZL3|label=PF13514.12-1-206|priority=2672	A0A2C7AAH8|label=PF13514.12-24-231|priority=6225
A0A1K1M918|label=PF13514.12-1-216|priority=2673	A0A1K1M918|label=PF13514.12-1-216|priority=2673
A0A2C6MJ43|label=PF13521.12-4-177|priority=2675	A0A2C6MJ43|label=PF13521.12-4-177|priority=2675
A0A0V0ZA30|label=PF13521.12-359-536|priority=2676	A0A0V0ZA30|label=PF13521.12-359-536|priority=2676
A0A0A2FV55|label=PF13521.12-7-190|priority=2677	A0A0A2FV55|label=PF13521.12-7-190|priority=2677
A0A0A2FV55|label=PF13521.12-7-190|priority=2677	V9EGE8|label=PF13521.12-40-223|priority=6246
A0A0A2FV55|label=PF13521.12-7-190|priority=2677	A0A913WSM2|label=PF13521.12-1-166|priority=6236
A0A0A2FV55|label=PF13521.12-7-190|priority=2677	W7TYQ6|label=PF13521.12-57-242|priority=6239
A0A1I5ZX34|label=PF13521.12-4-180|priority=2678	A0A1I5ZX34|label=PF13521.12-4-180|priority=2678
A0A7W3TI17|label=PF13521.12-2-190|priority=2684	A0A7W3TI17|label=PF13521.12-2-190|priority=2684
F5SX16|label=PF13521.12-4-104|priority=2686	F5SX16|label=PF13521.12-4-104|priority=2686
A0A7H5F3Q8|label=PF13521.12-7-152|priority=2689	A0A7H5F3Q8|label=PF13521.12-7-152|priority=2689
A0A7H5F3Q8|label=PF13521.12-7-152|priority=2689	A0A1I2IWC3|label=PF13521.12-6-161|priority=6243
A0A7H5F3Q8|label=PF13521.12-7-152|priority=2689	A0A7H9BJV7|label=PF13521.12-10-164|priority=6252
A0A0N0V585|label=PF13521.12-9-191|priority=2690	A0A0N0V585|label=PF13521.12-9-191|priority=2690
A0A239FGI0|label=PF13521.12-165-343|priority=2692	A0A239FGI0|label=PF13521.12-165-343|priority=2692
A0A5P9HJT0|label=PF13555.12-5-65|priority=2696	A0A5P9HJT0|label=PF13555.12-5-65|priority=2696
A0A5P9HJT0|label=PF13555.12-5-65|priority=2696	V9G3F7|label=PF13476.12-5-290|priority=2594
W8QE13|label=PF13555.12-1-59|priority=2697	W8QE13|label=PF13555.12-1-59|priority=2697
A0A432ZSU0|label=PF13555.12-12-75|priority=2698	A0A432ZSU0|label=PF13555.12-12-75|priority=2698
D4Z4D9|label=PF13304.12-151-349|priority=6101	D4Z4D9|label=PF13304.12-151-349|priority=6101
A0A371XJS0|label=PF13304.12-124-333|priority=6103	A0A371XJS0|label=PF13304.12-124-333|priority=6103
A0A371XJS0|label=PF13304.12-124-333|priority=6103	A0A071LT84|label=PF13476.12-5-212|priority=6137
A0A0M9DTE6|label=PF13304.12-34-332|priority=6104	A0A0M9DTE6|label=PF13304.12-34-332|priority=6104
A0A1B1S8D3|label=PF13304.12-174-337|priority=6107	A0A1B1S8D3|label=PF13304.12-174-337|priority=6107
A0A1B1S8D3|label=PF13304.12-174-337|priority=6107	K5ZRG0|label=PF13304.12-46-349|priority=6100
A0A5B9QKQ5|label=PF13304.12-578-833|priority=6109	A0A5B9QKQ5|label=PF13304.12-578-833|priority=6109
A0A3R8TGN7|label=PF13304.12-24-334|priority=6110	A0A3R8TGN7|label=PF13304.12-24-334|priority=6110
U2ZVT2|label=PF13304.12-26-324|priority=6111	U2ZVT2|label=PF13304.12-26-324|priority=6111
A0A1B4V7V7|label=PF13304.12-47-292|priority=6112	A0A1B4V7V7|label=PF13304.12-47-292|priority=6112
D9X410|label=PF13304.12-80-301|priority=6114	D9X410|label=PF13304.12-80-301|priority=6114
A8ULX3|label=PF13304.12-404-540|priority=6115	A8ULX3|label=PF13304.12-404-540|priority=6115
L1P6K8|label=PF13304.12-44-388|priority=6116	L1P6K8|label=PF13304.12-44-388|priority=6116
A0A6G3Q9T6|label=PF13401.12-27-154|priority=6117	A0A6G3Q9T6|label=PF13401.12-27-154|priority=6117
A0A6G3Q9T6|label=PF13401.12-27-154|priority=6117	A0A4Q7L812|label=PF13401.12-32-151|priority=6135
A0A6G3Q9T6|label=PF13401.12-27-154|priority=6117	A0A132PVC6|label=PF13401.12-32-153|priority=2574
A0A098G4P1|label=PF13401.12-38-152|priority=6119	A0A098G4P1|label=PF13401.12-38-152|priority=6119
A0A087BCW4|label=PF13401.12-210-346|priority=6120	A0A087BCW4|label=PF13401.12-210-346|priority=6120
