AC,priority,label-val,between_connectivity,cluster
A0A7K7XAX4,False,0,0,0.0
A0A6G7Y2D2,False,1,0,0.0
A0A7L1FGH7,False,2,0,0.0
A0A8S3T933,False,3,0,0.0
A0A6I8N1L0,False,4,0,0.0
A0A5N3UL60,False,5,0,0.0
A0A4S2L2D9,False,6,0,0.0
A0A059JDY9,False,7,0,0.0
A0A1I1HCT0,False,8,0,0.0
A0A8C6LZY2,False,9,0,0.0
A0A7D5S632,False,10,0,0.0
A0A5M6CQH9,False,11,0,0.0
A0A1Z5SHD2,False,12,0,0.0
F2IHZ3,False,13,0,0.0
A0A2S7SWD7,False,14,0,0.0
A0A926HG52,False,16,0,0.0
A0A2U2XB68,False,17,0,0.0
A0A7D5S5X1,False,18,0,0.0
A0A6M3VYY8,False,19,0,0.0
A0A1B3SN19,False,20,0,0.0
B6EFB2,False,21,0,0.0
A0A3S8NF87,False,22,0,0.0
A0A6M3VWU8,False,23,0,0.0
Q8V9Q2,False,24,0,0.0
A0A0F3MK43,False,25,0,0.0
A0A448X798,False,26,0,0.0
A0A261DC17,False,27,0,0.0
A5CDE1,False,28,0,0.0
H8K5G2,False,29,0,0.0
A0A261DCJ7,False,30,0,0.0
A0A0F3MH25,False,31,0,0.0
B5IFK9,False,32,0,0.0
T0LBE0,False,33,0,0.0
Q9HM06,False,34,0,0.0
A0A182C761,False,35,0,0.0
H2J528,False,36,0,0.0
A0A8D5U0R0,False,37,0,0.0
A0A133VFV9,False,38,0,0.0
C6A4E6,False,39,0,0.0
A0A2U0RVN2,False,40,0,0.0
A8F6Z4,False,41,0,0.0
A0A0W7VNG5,False,42,0,0.0
A0A0L0RW20,False,43,0,0.0
A0A3Q1EX48,False,44,0,0.0
A0A6P5L9J5,False,45,0,0.0
B4INF8,False,46,0,0.0
A0A914P717,False,47,0,0.0
A0A6A6KQA6,False,48,0,0.0
A0A813F233,False,49,0,0.0
A0A838XM77,False,50,0,0.0
A0A4R2PL91,False,51,0,0.0
K0Q0Z5,False,52,0,0.0
A0A4R3J7S4,False,53,0,0.0
A0A098G4T6,False,54,0,0.0
A0A1M7CE02,False,55,0,0.0
A0A328AIW4,False,56,0,0.0
A0A0W1A3R1,False,57,0,0.0
A0A316EU10,False,58,0,0.0
A0A841LZ55,False,59,0,0.0
A0A4U6XTX1,False,60,0,0.0
A0A6G0V3N9,False,61,0,0.0
A0A1I6KF58,False,62,0,0.0
A0A0E0D9Z2,False,63,0,0.0
A0A1V9Z089,False,64,0,0.0
Q0U504,False,65,0,0.0
A0A1S3N555,False,66,0,0.0
A0A238VM19,False,67,0,0.0
M4CWZ0,False,68,0,0.0
A0A839QYS6,False,69,0,0.0
A0A1Y3YHZ6,False,70,0,0.0
A0A9J9HFS8,False,71,0,0.0
A0A5Q2VZ12,False,72,0,0.0
A0A2K5C6Z0,False,73,0,0.0
A0A6L5EZK7,False,74,0,0.0
A0A1E7KBP9,False,75,0,0.0
A0A2T1G4I4,False,76,0,0.0
A0A291SQG7,False,77,0,0.0
A0A1I4VR86,False,78,0,0.0
A0A4Q7UTH4,False,79,0,0.0
W9HAU6,False,80,0,0.0
A0A8C0JVW0,False,81,0,0.0
A0A432WE04,False,82,0,0.0
A0A6A4VG04,False,83,0,0.0
A0A150WDF3,False,84,0,0.0
A0A6A3G0W4,False,85,0,0.0
A0A8J7XZT4,False,86,0,0.0
A0A8U0Q3Y0,False,87,0,0.0
A0A2I0R5H1,False,88,0,0.0
A0A3N6ZUL8,False,89,0,0.0
A0A8J6TY61,False,90,0,0.0
A0A0S2I3X9,False,91,0,0.0
A0A7D5S2S4,False,92,0,0.0
A0A2W1NNM3,False,93,0,0.0
A0A2P8DBI9,False,94,0,0.0
Q5JDA6,False,95,0,0.0
A0A0X1KUK6,False,96,0,0.0
A0A218ZU73,False,97,0,0.0
Q8U2D3,False,98,0,0.0
A0A8G2L826,False,99,0,0.0
S0AP25,False,100,0,0.0
A0A133UZ77,False,101,0,0.0
A0A0Q0XL83,False,102,0,0.0
C5CI18,False,103,0,0.0
A0A133VIS3,False,104,0,0.0
A0A2K5D6I4,False,105,0,0.0
A0A1J1H634,False,106,0,0.0
F4KHY7,False,107,0,0.0
A0A914RFY2,False,108,0,0.0
A0A8K0IH40,False,109,0,0.0
A0A078AX67,False,110,0,0.0
A0A851WDI9,False,111,0,0.0
A0A0M6ZH69,False,112,0,0.0
A0A271KJE6,False,113,0,0.0
A0A7S8C2A0,False,114,0,0.0
A0A549SM22,False,115,0,0.0
A0A5D0VDY2,False,116,0,0.0
A0A858X279,False,117,0,0.0
A0A5C7EZ59,False,118,0,0.0
A0A1H2EDL2,False,119,0,0.0
A0A967EZ95,False,120,0,0.0
A0A1C2DJI7,False,121,0,0.0
R1EFH1,False,122,0,0.0
A0A848H7P6,False,123,0,0.0
A0A425D5G5,False,124,0,0.0
A0A8J8WGH2,False,125,0,0.0
A0A2H3IC65,False,126,0,0.0
A0A8C0ZGW7,False,127,0,0.0
A0A327MAZ3,False,128,0,0.0
A0A1W6Z4W4,False,129,0,0.0
A0A914CSL4,False,130,0,0.0
A0A8S9BA93,False,131,0,0.0
A0A089PWT1,False,132,0,0.0
A0A5R9J5J6,False,133,0,0.0
A0A0Q5MQ06,False,134,0,0.0
A0A852V4W1,False,135,0,0.0
A0A5N5HJC2,False,136,0,0.0
A0A235A4K6,False,137,0,0.0
A0A674G9X8,False,138,0,0.0
A0A1Q9LHW5,False,139,0,0.0
A0A517MNK6,False,140,0,0.0
B6BRE3,False,141,0,0.0
A0A1U7LGN8,False,142,0,0.0
A0D2Q8,False,143,0,0.0
A0A4W3GHS3,False,144,0,0.0
A0A5J4NBM4,False,145,0,0.0
A0A1H4GXZ7,False,146,0,0.0
A0A7K8LC45,False,147,0,0.0
H0VJU8,False,148,0,0.0
A0A1H3J273,False,149,0,0.0
A0A0N1B4T3,False,150,0,0.0
A0A238WF45,False,151,0,0.0
A0A0J0YR30,False,152,0,0.0
W0RGL8,False,153,0,0.0
A0A8J9WRB5,False,154,0,0.0
A0A172Y955,False,155,0,0.0
A0A5A8CSB8,False,156,0,0.0
A0A368VEM8,False,157,0,0.0
A0A328YM47,False,158,0,0.0
D3F6T2,False,159,0,0.0
A0A4R2FAF5,False,160,0,0.0
A0A1X7G994,False,161,0,0.0
A0A3P9ATD6,False,162,0,0.0
A0A8H7B059,False,163,0,0.0
A0A2T6D4Q4,False,164,0,0.0
A0A975HIE8,False,165,0,0.0
A0A4W6F0G6,False,166,0,0.0
A0A507B741,False,167,0,0.0
A0A5M6IE27,False,168,0,0.0
A0A557Y0A6,False,169,0,0.0
A0A4Q9HLC1,False,170,0,0.0
A0A7T5JT84,False,171,0,0.0
A0A934UJ95,False,172,0,0.0
A0A518G659,False,173,0,0.0
A0A7K8XAB4,False,174,0,0.0
D9X3T7,False,175,0,0.0
A0A2D0HKT3,False,176,0,0.0
A0A1I0ZLH2,False,177,0,0.0
A0A919EUI5,False,178,0,0.0
K0JWV8,False,179,0,0.0
A0A0Q6K8F4,False,180,0,0.0
A0A5D0SD25,False,181,0,0.0
A0A011NW89,False,182,0,0.0
A0A0A2UUW6,False,183,0,0.0
A0A6I2FSP3,False,184,0,0.0
A0A1M5NA30,False,185,0,0.0
A0A169PC35,False,186,0,0.0
A0A0W0R1K5,False,187,0,0.0
A0A166A5N7,False,188,0,0.0
A0A0P7BCV7,False,189,0,0.0
A0A935CAF2,False,190,0,0.0
A0A926T1N3,False,191,0,0.0
A0A248JPZ4,False,192,0,0.0
A0A090IV15,False,193,0,0.0
A0A6V8SJ34,False,194,0,0.0
A0A3R7N8M7,False,195,0,0.0
A0A252AT64,False,196,0,0.0
A0A1R1SID3,False,197,0,0.0
A0A0N0DUK9,False,198,0,0.0
A0A4Y7RBE5,False,199,0,0.0
A0A1C3YRP5,False,200,0,0.0
A0A1Y4H3Y1,False,201,0,0.0
A0A2D2M1A4,False,202,0,0.0
A0A1M5Z3Q6,False,203,0,0.0
A0A0C3HPT3,False,204,0,0.0
A0A1H2YC71,False,205,0,0.0
A0A7W8CXW0,False,206,0,0.0
Q6AKS8,False,207,0,0.0
Q53WF9,False,208,0,0.0
A0A419SZQ7,False,209,0,0.0
A0A7K7X6S2,False,210,0,0.0
A0A2Y9DFE8,False,211,0,0.0
A0A6P6C7K4,False,212,0,0.0
A0A8D2LG45,False,213,0,0.0
A0A670YJK4,False,214,0,0.0
A0A8C3Q6Z2,False,215,0,0.0
A0A7K7CZ32,False,216,0,0.0
A0A8C0ZAI1,False,211,0,0.0
A0A7K5UJC6,False,210,0,0.0
A0A8D2PW88,False,217,0,0.0
A0A8D2B366,False,218,0,0.0
A0A8C3HJL8,False,219,0,0.0
A0A2I3T2P4,False,211,0,0.0
A0A365P368,False,220,0,0.0
A0A5C7FR88,False,221,0,0.0
A0A974WGU6,False,222,0,0.0
R7JP09,False,223,0,0.0
K9Z635,False,224,0,0.0
A0A4Q1KQE6,False,222,0,0.0
A0A0P6YNB1,False,225,0,0.0
A0A2T1DV41,False,226,0,0.0
A0A316FTD8,False,227,0,0.0
D7BDB9,False,228,0,0.0
D8G465,False,229,0,0.0
A0A432VC10,False,230,0,0.0
A0A4Q1KVB1,False,231,0,0.0
A3J726,False,232,0,0.0
A0A2K8T7A5,False,233,0,0.0
A0A8K0D298,False,234,0,0.0
A0A4S4HAH4,False,235,0,0.0
A0A923E174,False,236,0,1.0
A0A2S2DW34,False,237,0,0.0
A0A3S3W4G2,False,238,0,0.0
A0A917N121,False,239,0,0.0
A0A255ZQY1,False,240,0,0.0
A0A4S1ZL78,False,241,0,0.0
F4GD89,False,242,0,0.0
A0A1P8K6V3,False,243,0,0.0
A0A246JCA6,False,244,0,0.0
A0A1I5JZD0,False,245,0,0.0
F5RHR7,False,246,0,0.0
A0A257CIE1,False,247,0,0.0
A0A223PGT2,False,248,0,0.0
A0A1I6JLB8,False,249,0,0.0
A0A316GB60,False,250,0,0.0
A0A0Q6Z6U6,False,251,0,0.0
A0A5C1EDD4,False,252,0,0.0
A0A2R5FA69,False,253,0,0.0
H8GL73,False,254,0,0.0
A0A2D2AZ73,False,255,0,0.0
A0A8J7WFJ7,False,256,0,0.0
A0A3S2V4N9,False,257,0,0.0
A0A6B3NN69,False,258,0,0.0
A0A211ZTM0,False,259,0,0.0
A0A0S9MUV9,False,260,0,0.0
A0A1I4Y5Z6,False,261,0,0.0
W8QE80,False,262,0,0.0
Q5YFM6,False,263,0,0.0
Q06VE0,False,264,0,0.0
G0T549,False,265,0,0.0
A0A6M8PSK8,False,266,0,0.0
A0A3R8YPI2,False,267,0,0.0
A4KXB6,False,268,0,0.0
Q8QUQ5,False,269,0,0.0
Q5GAJ9,False,270,0,0.0
Q0E553,False,271,0,0.0
A0A2K9QQV2,False,272,0,0.0
A7IY44,False,273,0,0.0
A0A9E7PRC1,False,274,0,0.0
A0A088B1C4,False,275,0,0.0
I2BFU9,False,276,0,0.0
A0A2U7M3I2,False,277,0,0.0
D2XB15,False,278,0,0.0
A0A218Z287,False,279,0,0.0
A0A4U0WUT3,False,280,0,0.0
A0A384JDW8,False,281,0,0.0
A0A1E1KMZ8,False,282,0,0.0
A0A0B1PD44,False,283,0,0.0
A0A8H7TGN3,False,284,0,0.0
A0A010RUZ3,False,285,0,0.0
A0A8S9B3A0,False,286,0,0.0
A0A0C3C6C8,False,287,0,0.0
A0A395GUS8,False,288,0,0.0
A0A218ZI53,False,289,0,0.0
A0A4Y8DED0,False,290,0,0.0
A0A179FTM3,False,291,0,0.0
K1WKF6,False,292,0,0.0
A0A423W8J1,False,293,0,0.0
B6QWN3,False,294,0,0.0
A0A194XUK3,False,295,0,0.0
A0A1G4AP13,False,296,0,0.0
A0A094DA81,False,297,0,0.0
A0A1L7WX03,False,298,0,0.0
A0A2J8AGT4,False,299,0,0.0
A1YQX2,False,300,0,0.0
A0A836BX86,False,299,0,0.0
A8IV40,False,301,0,0.0
A0A8J4CWB6,False,300,0,0.0
A0A1C0ABB0,False,302,0,0.0
A0A4R2RWQ8,False,303,0,0.0
A0A0D8ZTF9,False,304,0,0.0
H1XPS4,False,305,0,0.0
I1HHU0,False,306,0,0.0
A0A099SGC3,False,307,0,0.0
A0A8J2X015,False,308,0,0.0
A0A1M6JXW6,False,309,0,0.0
A0A0A8WUB2,False,310,0,0.0
F7YWS1,False,311,0,0.0
C0N6M1,False,312,0,0.0
C7YS08,False,313,0,0.0
A0A165CTB3,False,314,0,0.0
A0A183MUS7,False,315,0,0.0
I0I6K1,False,316,0,0.0
A0A212PJ68,False,317,0,0.0
A0A1V4I8P4,False,318,0,0.0
