AC,priority,label-val,between_connectivity,cluster
A0A7K7XAX4,False,0,0,0.0
A0A6G7Y2D2,False,1,0,0.0
A0A7L1FGH7,False,2,0,0.0
A0A8S3T933,False,3,0,0.0
A0A6I8N1L0,False,4,0,0.0
A0A5N3UL60,False,5,0,0.0
A0A4S2L2D9,False,6,0,0.0
A0A059JDY9,False,7,0,0.0
A0A1I1HCT0,False,8,0,0.0
A0A8C6LZY2,False,9,0,0.0
A0A7D5S632,False,10,0,0.0
A0A5M6CQH9,False,11,0,0.0
A0A1Z5SHD2,False,12,0,0.0
F2IHZ3,False,13,0,0.0
A0A2S7SWD7,False,14,0,0.0
A0A2P7TDS0,False,15,0,0.0
A0A926HG52,False,16,0,0.0
A0A924IUK1,False,12,0,0.0
A0A2U2XB68,False,17,0,0.0
A0A7D5S5X1,False,18,0,0.0
A0A6M3VYY8,False,19,0,0.0
A0A1B3SN19,False,20,0,0.0
B6EFB2,False,21,0,0.0
A0A3S8NF87,False,22,0,0.0
A0A6M3VWU8,False,23,0,0.0
Q8V9Q2,False,24,0,0.0
A0A0F3MK43,False,25,0,0.0
A0A448X798,False,26,0,0.0
A0A261DC17,False,27,0,0.0
A5CDE1,False,28,0,0.0
H8K5G2,False,29,0,0.0
A0A261DCJ7,False,30,0,0.0
A0A0F3MH25,False,31,0,0.0
B5IFK9,False,32,0,0.0
T0LBE0,False,33,0,0.0
Q9HM06,False,34,0,0.0
A0A182C761,False,35,0,0.0
H2J528,False,36,0,0.0
A0A8D5U0R0,False,37,0,0.0
A0A133VFV9,False,38,0,0.0
C6A4E6,False,39,0,0.0
A0A2U0RVN2,False,40,0,0.0
A8F6Z4,False,41,0,0.0
A0A0W7VNG5,False,42,0,0.0
A0A0L0RW20,False,43,0,0.0
A0A3Q1EX48,False,44,0,0.0
A0A6P5L9J5,False,45,0,0.0
B4INF8,False,46,0,0.0
A0A8J2IFM8,False,43,0,0.0
A0A914P717,False,47,0,0.0
A0A6A6KQA6,False,48,0,0.0
A0A813F233,False,49,0,0.0
A0A838XM77,False,50,0,0.0
A0A4R2PL91,False,51,0,0.0
K0Q0Z5,False,52,0,0.0
A0A4R3J7S4,False,53,0,0.0
A0A098G4T6,False,54,0,0.0
A0A1M7CE02,False,55,0,0.0
A0A328AIW4,False,56,0,0.0
A0A0W1A3R1,False,57,0,0.0
A0A316EU10,False,58,0,0.0
A0A841LZ55,False,59,0,0.0
A0A4U6XTX1,False,60,0,0.0
A0A6G0V3N9,False,61,0,0.0
A0A1I6KF58,False,62,0,0.0
A0A0E0D9Z2,False,63,0,0.0
A0A1V9Z089,False,64,0,0.0
Q0U504,False,65,0,0.0
A0A1S3N555,False,66,0,0.0
A0A238VM19,False,67,0,0.0
M4CWZ0,False,68,0,0.0
A0A839QYS6,False,69,0,0.0
A0A1Y3YHZ6,False,70,0,0.0
A0A9J9HFS8,False,71,0,0.0
A0A5Q2VZ12,False,72,0,0.0
A0A2K5C6Z0,False,73,0,0.0
A0A6L5EZK7,False,74,0,0.0
A0A1E7KBP9,False,75,0,0.0
A0A2T1G4I4,False,76,0,0.0
A0A291SQG7,False,77,0,0.0
A0A1I4VR86,False,78,0,0.0
A0A4Q7UTH4,False,79,0,0.0
B6BRE3,False,80,0,0.0
A0A1U7LGN8,False,81,0,0.0
A0D2Q8,False,82,0,0.0
A0A4W3GHS3,False,83,0,0.0
A0A5J4NBM4,False,84,0,0.0
A0A1H4GXZ7,False,85,0,0.0
A0A7K8LC45,False,86,0,0.0
H0VJU8,False,87,0,0.0
A0A1H3J273,False,88,0,0.0
A0A0N1B4T3,False,89,0,0.0
A0A1X7G994,False,90,0,0.0
A0A3P9ATD6,False,91,0,1.0
A0A6J2QAP8,False,91,0,1.0
A0A8H7B059,False,92,0,0.0
A0A2T6D4Q4,False,93,0,0.0
A0A975HIE8,False,94,0,0.0
A0A4W6F0G6,False,95,0,1.0
A0A507B741,False,96,0,0.0
A0A5M6IE27,False,97,0,0.0
A0A557Y0A6,False,98,0,0.0
D9X3T7,False,99,0,0.0
A0A2D0HKT3,False,100,0,0.0
A0A1I0ZLH2,False,101,0,0.0
A0A919EUI5,False,102,0,0.0
K0JWV8,False,103,0,0.0
A0A0Q6K8F4,False,104,0,0.0
A0A5D0SD25,False,105,0,0.0
A0A011NW89,False,106,0,0.0
A0A0A2UUW6,False,107,0,0.0
A0A6I2FSP3,False,108,0,0.0
A0A6V8SJ34,False,109,0,1.0
A0A3R7N8M7,False,110,0,0.0
A0A252AT64,False,111,0,0.0
A0A841KX88,False,109,0,1.0
A0A1R1SID3,False,112,0,0.0
A0A0N0DUK9,False,113,0,0.0
A0A4Y7RBE5,False,114,0,0.0
A0A1C3YRP5,False,115,0,0.0
A0A1Y4H3Y1,False,116,0,0.0
A0A2D2M1A4,False,117,0,0.0
A0A7K7X6S2,False,118,0,0.0
A0A7K6V7U6,False,118,0,0.0
A0A2Y9DFE8,False,119,0,0.0
A0A6P6C7K4,False,120,0,0.0
A0A8D2LG45,False,121,0,0.0
A0A670YJK4,False,122,0,0.0
A0A8C9H4A2,False,119,0,0.0
A0A8C3Q6Z2,False,123,0,0.0
H2R459,False,119,0,0.0
A0A7K7CZ32,False,124,0,0.0
A0A365P368,False,125,0,0.0
A0A5C7FR88,False,126,0,0.0
A0A974WGU6,False,127,0,0.0
R7JP09,False,128,0,0.0
A0A1G9VRW9,False,127,0,1.0
K9Z635,False,129,0,0.0
A0A7W5DQ78,False,127,0,2.0
A0A4Q1KQE6,False,127,0,0.0
A0A0P6YNB1,False,130,0,0.0
A0A2T1DV41,False,131,0,0.0
A0A8K0D298,False,132,0,0.0
A0A4S4HAH4,False,133,0,0.0
A0A495SJG0,False,134,0,0.0
A0A923E174,False,134,0,1.0
A0A2S2DW34,False,135,0,0.0
A0A3S3W4G2,False,136,0,1.0
A0A917N121,False,137,0,0.0
A0A7K1T1J9,False,136,0,1.0
A0A1V2AW01,False,133,0,1.0
A0A255ZQY1,False,138,0,0.0
A0A4S1ZL78,False,139,0,0.0
F4GD89,False,140,0,0.0
A0A1P8K6V3,False,141,0,0.0
A0A246JCA6,False,142,0,0.0
A0A1I5JZD0,False,143,0,0.0
F5RHR7,False,144,0,0.0
A0A257CIE1,False,145,0,0.0
A0A223PGT2,False,146,0,0.0
A0A1I6JLB8,False,147,0,0.0
A0A316GB60,False,148,0,0.0
A0A0Q6Z6U6,False,149,0,0.0
W8QE80,False,150,0,0.0
Q5YFM6,False,151,0,1.0
Q06VE0,False,152,0,0.0
G0T549,False,153,0,1.0
A0A6M8PSK8,False,154,0,0.0
A0A3R8YPI2,False,155,0,0.0
W8W2X2,False,153,0,1.0
A4KXB6,False,156,0,0.0
Q8QUQ5,False,157,0,0.0
Q5GAJ9,False,151,0,1.0
A0A218Z287,False,158,0,0.0
A0A4U0WUT3,False,159,0,0.0
A0A384JDW8,False,160,0,0.0
A0A1E1KMZ8,False,161,0,0.0
A0A0B1PD44,False,162,0,0.0
A0A8H7TGN3,False,163,0,0.0
A0A010RUZ3,False,164,0,0.0
A0A8S9B3A0,False,165,0,0.0
A0A0C3C6C8,False,166,0,0.0
A0A395GUS8,False,167,0,0.0
A0A2J8AGT4,False,168,0,1.0
A0A150GFJ1,False,168,0,1.0
A1YQX2,False,169,0,1.0
A0A150GFH7,False,168,0,1.0
A0A836BX86,False,168,0,1.0
A8IV40,False,170,0,1.0
A0A8J4F2D6,False,169,0,1.0
A0A835Y0A3,False,168,0,1.0
Q1WLW8,False,170,0,1.0
A0A2J8AGS4,False,168,0,1.0
A0A1C0ABB0,False,171,0,0.0
A0A4R2RWQ8,False,172,0,0.0
A0A0D8ZTF9,False,173,0,0.0
H1XPS4,False,174,0,0.0
I1HHU0,False,175,0,0.0
A0A099SGC3,False,176,0,0.0
A0A8J2X015,False,177,0,0.0
A0A1M6JXW6,False,178,0,0.0
A0A0A8WUB2,False,179,0,0.0
F7YWS1,False,180,0,0.0
A0A0U5GX42,False,181,0,0.0
A0A2D0HB64,False,182,0,0.0
A0A814TSB3,False,183,0,0.0
A0A420XX17,False,184,0,0.0
A0A926T7V8,False,185,0,0.0
Q163H6,False,186,0,0.0
A0A7L5A6A0,False,187,0,0.0
A0A1Y4NSA5,False,188,0,0.0
A0A0F5QJN8,False,189,0,0.0
A0A2V3IVU8,False,190,0,0.0
A0A7X0NF38,False,191,0,0.0
A0A8H7BNQ3,False,192,0,0.0
A0A0W0Y3V1,False,193,0,0.0
A0A409YH50,False,194,0,0.0
A0A8H7RUI0,False,195,0,0.0
A0A940EJQ4,False,196,0,0.0
A0A507E0E4,False,197,0,0.0
A0A367JC35,False,198,0,0.0
A0A8H7PYJ7,False,199,0,0.0
A0A4Z0RD50,False,200,0,0.0
A0A7J5BFI8,False,201,0,0.0
G5K3G7,False,202,0,0.0
A0A0V7YZS9,False,203,0,0.0
A0A0J1G8N9,False,204,0,0.0
A0A060M1N6,False,205,0,0.0
A0A1M4Y5A3,False,206,0,0.0
D4E772,False,207,0,0.0
A0A553ZWR2,False,208,0,0.0
A0A235B528,False,209,0,0.0
Q08FH2,False,210,0,2.0
Q77G89,False,211,0,2.0
Q08FZ2,False,210,0,2.0
A0A2I6BQL3,False,210,0,2.0
Q6TV04,False,212,0,0.0
A0A5J9W282,False,213,0,0.0
A0A5N6R9R8,False,214,0,0.0
M5W2G9,False,215,0,0.0
Q2TW44,False,216,0,0.0
A0A0D9Y8M8,False,217,0,0.0
A0A7N0ZYV2,False,218,0,0.0
A0A199VC33,False,219,0,0.0
A0A6C7EFL8,False,220,0,0.0
A0A8X8ZWN3,False,221,0,0.0
A0A078H537,False,222,0,0.0
A0A7R7TAJ2,False,223,0,0.0
A0C122,False,224,0,0.0
A0A8C9H3S1,False,225,0,0.0
A0A5N6F4Z5,False,226,0,0.0
A0A7K9XM85,False,227,0,0.0
G3TJR8,False,228,0,0.0
A0A812T3C3,False,229,0,0.0
L1K1J2,False,230,0,0.0
A0A0D2C171,False,231,0,0.0
A0A1M7LM69,False,232,0,0.0
A0A4R6Z6R2,False,233,0,0.0
A0A6P6AWJ3,False,234,0,0.0
A0A5A7T8H4,False,235,0,0.0
A0A835W7L0,False,236,0,0.0
A0A267GQL7,False,237,0,0.0
A0A8H6K0D1,False,238,0,0.0
A0A7K5NIH8,False,239,0,0.0
A0A6I9ZJ94,False,240,0,0.0
A0A346FKD0,False,241,0,0.0
A0A812X2Q9,False,242,0,0.0
A0A0D2D9T3,False,243,0,0.0
A0A1E7EYZ0,False,244,0,0.0
A0A8S3YA55,False,245,0,0.0
A0A8H5WQL9,False,246,0,0.0
A0A8H4V941,False,247,0,0.0
A0A6P4Y8L7,False,248,0,0.0
A0A5M3MC85,False,249,0,0.0
A0A927KEF6,False,250,0,0.0
A0A2G7FHK3,False,251,0,0.0
A0A367XS61,False,252,0,0.0
A0A1V1PU79,False,253,0,0.0
A0A1U7DEX4,False,254,0,0.0
W0J5Q2,False,255,0,0.0
A3WCS4,False,256,0,0.0
V4YP58,False,257,0,0.0
A0A975PPA3,False,258,0,0.0
A0A812ZDQ7,False,259,0,0.0
A0A239GTU5,False,260,0,0.0
F6IDS3,False,261,0,0.0
V4NPG6,False,262,0,0.0
F4RHI3,False,263,0,0.0
A0A5B0LZW1,False,264,0,0.0
A0A0L6UVQ7,False,265,0,0.0
A0A0L0UR00,False,266,0,0.0
A0A0L6UG57,False,267,0,0.0
A0A5B0LP16,False,268,0,0.0
E3K0C2,False,269,0,0.0
A0A2S4UZA9,False,270,0,0.0
A0A0L6VLN8,False,271,0,0.0
A0A0C3BL72,False,272,0,0.0
K9U2J8,False,273,0,0.0
R1C7W9,False,274,0,0.0
R1ELG8,False,275,0,0.0
A0A1M6F418,False,276,0,0.0
A0KLH3,False,277,0,0.0
A0A0T7BM46,False,278,0,0.0
A0A0Q5HA70,False,279,0,0.0
A0A240EK81,False,280,0,0.0
A0A8H4L7X9,False,281,0,0.0
A0A1A7R009,False,282,0,0.0
A0A3E1NPH1,False,283,0,0.0
A0A4P6ZE83,False,284,0,0.0
A0A930TZ58,False,285,0,0.0
A0A243SHA6,False,286,0,0.0
G2PR53,False,287,0,0.0
A3QBN7,False,288,0,0.0
A0A1V3QMK4,False,289,0,0.0
A0A4P7PSU2,False,290,0,0.0
A0A2T0MAX8,False,291,0,0.0
V4KPM1,False,292,0,1.0
A0A0K0F7K8,False,293,0,0.0
A0A673YHG0,False,294,0,0.0
A0A6V7UD90,False,295,0,0.0
A0A2V1CQS4,False,296,0,0.0
W2YXX2,False,297,0,0.0
W7TPM6,False,298,0,0.0
A0A9R0J4J3,False,292,0,1.0
